date,total,O,A,B,AB
2016-01-01,14304,2558,2910,6759,2077
2016-01-02,15410,2885,3248,7025,2252
2016-01-03,15093,2823,3054,6999,2217
2016-01-04,14255,2645,2942,6618,2050
2016-01-05,12254,2244,2519,5871,1620
2016-01-06,11271,2229,2439,5188,1415
2016-01-07,12243,2866,3335,4653,1389
2016-01-08,12836,2980,3235,5013,1608
2016-01-09,15919,3614,4060,6257,1988
2016-01-10,17631,4015,4610,6946,2060
2016-01-11,17023,3673,4270,7044,2036
2016-01-12,16057,3447,4000,6809,1801
2016-01-13,15904,3572,3848,6790,1694
2016-01-14,15588,3558,3771,6622,1637
2016-01-15,16579,3856,4250,6751,1722
2016-01-16,18164,4175,4594,7456,1939
2016-01-17,19457,4384,5019,7951,2103
2016-01-18,19092,4239,4991,7851,2011
2016-01-19,17744,3857,4627,7413,1847
2016-01-20,18091,3843,4787,7640,1821
2016-01-21,17791,3811,4639,7613,1728
2016-01-22,18401,3962,4983,7670,1786
2016-01-23,19978,4338,5548,8135,1957
2016-01-24,20559,4552,5723,8358,1926
2016-01-25,20714,4665,5692,8377,1980
2016-01-26,19458,4324,5141,8191,1802
2016-01-27,19464,4408,5217,8000,1839
2016-01-28,20028,4567,5292,8145,2024
2016-01-29,20532,4758,5623,7995,2156
2016-01-30,23762,5709,6768,8791,2494
2016-01-31,25333,6267,7403,9082,2581
2016-02-01,25424,6261,7531,9052,2580
2016-02-02,24560,6141,7150,8774,2495
2016-02-03,24873,6206,7300,8966,2401
2016-02-04,24713,5991,7227,9048,2447
2016-02-05,24129,5861,7046,8887,2335
2016-02-06,25615,6318,7647,9212,2438
2016-02-07,24077,5924,7108,8807,2238
2016-02-08,22268,5458,6514,8286,2010
2016-02-09,21634,5279,6326,8138,1891
2016-02-10,21233,5313,6079,8000,1841
2016-02-11,20270,4986,5860,7574,1850
2016-02-12,18356,4627,5209,6905,1615
2016-02-13,18787,4570,5541,6975,1701
2016-02-14,18979,4691,5650,6951,1687
2016-02-15,16519,4023,4886,6098,1512
2016-02-16,14553,3362,4361,5462,1368
2016-02-17,13213,3103,3813,4907,1390
2016-02-18,12287,2936,3635,4400,1316
2016-02-19,12814,3279,3895,4319,1321
2016-02-20,13865,3530,4298,4592,1445
2016-02-21,13903,3439,4271,4763,1430
2016-02-22,14735,3731,4545,4925,1534
2016-02-23,14000,3731,4347,4448,1474
2016-02-24,13944,3700,4290,4406,1548
2016-02-25,13265,3588,4107,4050,1520
2016-02-26,13481,3543,4225,4157,1556
2016-02-27,15300,3936,4904,4752,1708
2016-02-28,14975,3841,4761,4756,1617
2016-02-29,15347,3926,4944,4697,1780
2016-03-01,14478,3714,4602,4528,1634
2016-03-02,13750,3568,4433,4327,1422
2016-03-03,12865,3324,4140,3994,1407
2016-03-04,14336,3759,4331,4617,1629
2016-03-05,16346,4138,5073,5274,1861
2016-03-06,17549,4471,5425,5682,1971
2016-03-07,16482,4033,5097,5549,1803
2016-03-08,14825,3544,4421,5228,1632
2016-03-09,14891,3514,4570,5127,1680
2016-03-10,13692,3412,4226,4489,1565
2016-03-11,14607,3729,4436,4785,1657
2016-03-12,17487,4496,5456,5529,2006
2016-03-13,19636,5074,6321,6060,2181
2016-03-14,17451,4248,5645,5657,1901
2016-03-15,15776,3886,4978,5064,1848
2016-03-16,15037,3850,4726,4697,1764
2016-03-17,14606,3779,4613,4532,1682
2016-03-18,15612,3970,4926,4821,1895
2016-03-19,17931,4567,5614,5556,2194
2016-03-20,18166,4580,5690,5637,2259
2016-03-21,17815,4488,5457,5681,2189
2016-03-22,17312,4393,5319,5522,2078
2016-03-23,17418,4219,5517,5630,2052
2016-03-24,17495,4273,5571,5595,2056
2016-03-25,18025,4505,5758,5702,2060
2016-03-26,19742,4863,6396,6276,2207
2016-03-27,20713,5189,6647,6612,2265
2016-03-28,20373,5020,6440,6646,2267
2016-03-29,19034,4634,5922,6264,2214
2016-03-30,18931,4619,5934,6113,2265
2016-03-31,18872,4846,5738,6046,2242
2016-04-01,18972,4814,5808,6052,2298
2016-04-02,20072,5075,6279,6333,2385
2016-04-03,19505,4991,5977,6208,2329
2016-04-04,18244,4673,5624,5869,2078
2016-04-05,17189,4416,5199,5597,1977
2016-04-06,15921,4098,4813,5102,1908
2016-04-07,15330,3819,4774,4896,1841
2016-04-08,15510,3848,4815,4932,1915
2016-04-09,16373,3975,5133,5216,2049
2016-04-10,17254,4174,5471,5402,2207
2016-04-11,16134,3854,5224,4998,2058
2016-04-12,15540,3769,4873,4922,1976
2016-04-13,13974,3285,4392,4484,1813
2016-04-14,14108,3402,4353,4480,1873
2016-04-15,14663,3520,4685,4605,1853
2016-04-16,14794,3502,4811,4676,1805
2016-04-17,14481,3432,4697,4548,1804
2016-04-18,14029,3317,4632,4378,1702
2016-04-19,12415,3052,3878,3992,1493
2016-04-20,11826,2974,3651,3780,1421
2016-04-21,16042,3577,5545,5246,1674
2016-04-22,19477,4900,6281,6072,2224
2016-04-23,22136,5645,7222,6608,2661
2016-04-24,23254,5984,7576,6907,2787
2016-04-25,21475,5467,6893,6555,2560
2016-04-26,21647,5460,6840,6693,2654
2016-04-27,21566,5605,6774,6691,2496
2016-04-28,22001,5599,7041,6899,2462
2016-04-29,24491,6237,7973,7603,2678
2016-04-30,27315,6973,8996,8356,2990
2016-05-01,27383,6953,9066,8388,2976
2016-05-02,27249,6815,9016,8374,3044
2016-05-03,28394,6984,9593,8655,3162
2016-05-04,28538,7013,9606,8722,3197
2016-05-05,26380,6390,8878,8150,2962
2016-05-06,26505,6419,8979,8193,2914
2016-05-07,27365,6668,9342,8383,2972
2016-05-08,27947,6774,9601,8537,3035
2016-05-09,27679,6690,9476,8537,2976
2016-05-10,26839,6336,9166,8459,2878
2016-05-11,27550,6581,9319,8644,3006
2016-05-12,28234,6711,9552,8918,3053
2016-05-13,29150,6803,9925,9222,3200
2016-05-14,30461,7165,10364,9686,3246
2016-05-15,30784,7244,10544,9784,3212
2016-05-16,30818,7042,10698,9869,3209
2016-05-17,30534,6931,10602,9769,3232
2016-05-18,29769,6555,10258,9738,3218
2016-05-19,30017,6561,10448,9820,3188
2016-05-20,31032,6862,10834,10095,3241
2016-05-21,33263,7514,11591,10628,3530
2016-05-22,33815,7662,11785,10774,3594
2016-05-23,33563,7716,11701,10637,3509
2016-05-24,32084,7298,11173,10357,3256
2016-05-25,32296,7392,11249,10376,3279
2016-05-26,31807,7214,11056,10365,3172
2016-05-27,32510,7465,11332,10458,3255
2016-05-28,34607,7905,12168,11063,3471
2016-05-29,35633,8263,12552,11204,3614
2016-05-30,35656,8290,12457,11224,3685
2016-05-31,35595,8217,12393,11249,3736
2016-06-01,35387,8134,12350,11135,3768
2016-06-02,35024,8151,12216,10989,3668
2016-06-03,35617,8206,12468,11218,3725
2016-06-04,37807,8762,13318,11812,3915
2016-06-05,38149,8880,13530,11867,3872
2016-06-06,36317,8304,12975,11318,3720
2016-06-07,35595,8034,12730,11143,3688
2016-06-08,33989,7546,12072,10757,3614
2016-06-09,32142,7106,11497,10247,3292
2016-06-10,32260,7179,11508,10228,3345
2016-06-11,33361,7478,11951,10405,3527
2016-06-12,32970,7411,11685,10355,3519
2016-06-13,31736,7075,11098,10082,3481
2016-06-14,31114,6868,10933,9826,3487
2016-06-15,29741,6473,10582,9472,3214
2016-06-16,28597,6127,10122,9171,3177
2016-06-17,28952,6225,10323,9094,3310
2016-06-18,29937,6695,10621,9226,3395
2016-06-19,30114,6920,10644,9072,3478
2016-06-20,28731,6621,10072,8705,3333
2016-06-21,26264,6021,9215,8021,3007
2016-06-22,25173,5822,8691,7746,2914
2016-06-23,24239,5512,8323,7602,2802
2016-06-24,25018,5772,8533,7819,2894
2016-06-25,26954,6381,9068,8424,3081
2016-06-26,27655,6651,9220,8684,3100
2016-06-27,27026,6414,9098,8604,2910
2016-06-28,25642,6085,8447,8229,2881
2016-06-29,25239,6077,8144,8153,2865
2016-06-30,22976,5345,7385,7613,2633
2016-07-01,21407,4885,6976,7152,2394
2016-07-02,22674,5166,7466,7532,2510
2016-07-03,22380,5116,7423,7362,2479
2016-07-04,21544,4742,7199,7240,2363
2016-07-05,21112,4619,6878,7356,2259
2016-07-06,20754,4609,6886,7170,2089
2016-07-07,21338,4935,6974,7361,2068
2016-07-08,21641,4998,7106,7378,2159
2016-07-09,22252,5169,7376,7502,2205
2016-07-10,22226,5166,7355,7576,2129
2016-07-11,22033,5105,7353,7413,2162
2016-07-12,21913,5111,7231,7389,2182
2016-07-13,22791,5317,7584,7652,2238
2016-07-14,22732,5269,7652,7692,2119
2016-07-15,23151,5316,7798,7948,2089
2016-07-16,24764,5701,8511,8361,2191
2016-07-17,25050,5882,8561,8388,2219
2016-07-18,25663,5938,8862,8618,2245
2016-07-19,26194,6003,9049,8840,2302
2016-07-20,26117,6018,8965,8816,2318
2016-07-21,25749,5926,8988,8541,2294
2016-07-22,25988,6022,9082,8525,2359
2016-07-23,28159,6637,9856,9085,2581
2016-07-24,29019,6887,10189,9264,2679
2016-07-25,28593,6727,9970,9179,2717
2016-07-26,27890,6436,9805,8966,2683
2016-07-27,26808,6158,9300,8729,2621
2016-07-28,27190,6173,9525,8903,2589
2016-07-29,26313,5914,9330,8677,2392
2016-07-30,28194,6436,9829,9300,2629
2016-07-31,28455,6567,9922,9290,2676
2016-08-01,27564,6214,9656,9156,2538
2016-08-02,26560,5885,9355,8925,2395
2016-08-03,26615,5875,9350,9046,2344
2016-08-04,26502,5741,9241,9110,2410
2016-08-05,25941,5587,9190,8881,2283
2016-08-06,27508,5958,9651,9322,2577
2016-08-07,28039,6103,9859,9443,2634
2016-08-08,27232,5756,9714,9252,2510
2016-08-09,25740,5271,9193,8853,2423
2016-08-10,24594,5018,8794,8591,2191
2016-08-11,23929,4856,8637,8447,1989
2016-08-12,23317,4799,8336,8260,1922
2016-08-13,25010,5237,9099,8560,2114
2016-08-14,24494,5158,8880,8432,2024
2016-08-15,24243,5118,8812,8371,1942
2016-08-16,22857,4678,8331,8069,1779
2016-08-17,22155,4414,8085,7930,1726
2016-08-18,22027,4458,8106,7825,1638
2016-08-19,21802,4546,7900,7841,1515
2016-08-20,22897,4874,8301,8070,1652
2016-08-21,23519,5091,8546,8157,1725
2016-08-22,22278,4938,8059,7656,1625
2016-08-23,21420,4517,7723,7503,1677
2016-08-24,20859,4304,7604,7300,1651
2016-08-25,20425,4216,7308,7280,1621
2016-08-26,20472,4090,7411,7333,1638
2016-08-27,21319,4361,7779,7439,1740
2016-08-28,21824,4484,8045,7538,1757
2016-08-29,22526,4647,8224,7757,1898
2016-08-30,21458,4350,7614,7594,1900
2016-08-31,20232,3944,7212,7233,1843
2016-09-01,19883,3891,7034,7197,1761
2016-09-02,20189,4134,7059,7140,1856
2016-09-03,20827,4356,7280,7266,1925
2016-09-04,20310,4271,7178,7062,1799
2016-09-05,19192,3914,6723,6810,1745
2016-09-06,17789,3581,6239,6332,1637
2016-09-07,17089,3642,5767,6096,1584
2016-09-08,17540,3813,5943,5988,1796
2016-09-09,18324,3926,6180,6308,1910
2016-09-10,20912,4542,7048,7174,2148
2016-09-11,21520,4673,7313,7357,2177
2016-09-12,22011,4793,7538,7434,2246
2016-09-13,22094,4790,7779,7395,2130
2016-09-14,20044,4263,7044,6834,1903
2016-09-15,18005,3630,6408,6313,1654
2016-09-16,16693,3192,6002,5958,1541
2016-09-17,17127,3338,6083,6143,1563
2016-09-18,17544,3449,6292,6220,1583
2016-09-19,17340,3601,5951,6040,1748
2016-09-20,15456,3241,5136,5478,1601
2016-09-21,14887,3094,5010,5251,1532
2016-09-22,14485,3097,4917,4942,1529
2016-09-23,14318,3135,4857,4817,1509
2016-09-24,15382,3412,5313,5027,1630
2016-09-25,14899,3176,5191,5011,1521
2016-09-26,14610,3071,5107,4893,1539
2016-09-27,13487,2705,4807,4518,1457
2016-09-28,12440,2597,4359,4007,1477
2016-09-29,13510,2897,4630,4399,1584
2016-09-30,15704,3558,5426,4923,1797
2016-10-01,19442,4605,6770,5834,2233
2016-10-02,19327,4481,6748,5894,2204
2016-10-03,20004,4623,7067,6125,2189
2016-10-04,22486,5418,7822,6900,2346
2016-10-05,22251,5134,7755,6965,2397
2016-10-06,21582,4944,7443,6831,2364
2016-10-07,21631,5037,7454,6866,2274
2016-10-08,22741,5323,7855,7174,2389
2016-10-09,23019,5401,7936,7232,2450
2016-10-10,23685,5668,8024,7491,2502
2016-10-11,22699,5389,7810,7203,2297
2016-10-12,22650,5370,7712,7261,2307
2016-10-13,22915,5385,7940,7208,2382
2016-10-14,23140,5516,8006,7191,2427
2016-10-15,25322,6163,8746,7742,2671
2016-10-16,24921,6053,8549,7678,2641
2016-10-17,26017,6403,8904,7922,2788
2016-10-18,25733,6287,8823,7888,2735
2016-10-19,25679,6291,8871,7778,2739
2016-10-20,26083,6565,8820,7968,2730
2016-10-21,26894,6768,9026,8192,2908
2016-10-22,29054,7381,9754,8841,3078
2016-10-23,29347,7448,9896,8884,3119
2016-10-24,29369,7227,9991,8958,3193
2016-10-25,28288,6842,9549,8780,3117
2016-10-26,28039,6625,9550,8751,3113
2016-10-27,26269,6082,9067,8316,2804
2016-10-28,27106,6306,9334,8403,3063
2016-10-29,29821,7172,10171,9079,3399
2016-10-30,30772,7472,10548,9194,3558
2016-10-31,31508,7720,10738,9452,3598
2016-11-01,31000,7713,10452,9220,3615
2016-11-02,31487,7796,10631,9306,3754
2016-11-03,30730,7416,10466,9175,3673
2016-11-04,31052,7339,10679,9298,3736
2016-11-05,32304,7628,11204,9667,3805
2016-11-06,32345,7609,11234,9660,3842
2016-11-07,31260,7210,10824,9466,3760
2016-11-08,29955,6959,10211,9127,3658
2016-11-09,28966,6771,9888,8812,3495
2016-11-10,27554,6246,9480,8517,3311
2016-11-11,27066,6193,9220,8422,3231
2016-11-12,28728,6515,9726,9017,3470
2016-11-13,28828,6589,9796,8903,3540
2016-11-14,27103,6080,9198,8487,3338
2016-11-15,25958,5776,8831,8206,3145
2016-11-16,26840,6051,9106,8427,3256
2016-11-17,26290,5842,8885,8407,3156
2016-11-18,25914,5727,8505,8458,3224
2016-11-19,26922,6107,8730,8773,3312
2016-11-20,28445,6561,9241,9182,3461
2016-11-21,28279,6398,9052,9324,3505
2016-11-22,26659,5984,8423,8973,3279
2016-11-23,26258,5824,8350,8738,3346
2016-11-24,27244,6259,8542,8922,3521
2016-11-25,28024,6323,8943,8979,3779
2016-11-26,29695,6877,9558,9303,3957
2016-11-27,29368,6699,9390,9230,4049
2016-11-28,30743,7078,9924,9456,4285
2016-11-29,31185,7192,10097,9525,4371
2016-11-30,31729,7477,10458,9333,4461
2016-12-01,31595,7346,10506,9374,4369
2016-12-02,31896,7464,10583,9494,4355
2016-12-03,33740,8001,11204,9979,4556
2016-12-04,33620,7960,11174,9915,4571
2016-12-05,32251,7478,10685,9631,4457
2016-12-06,30381,6858,10114,9063,4346
2016-12-07,28821,6356,9454,8778,4233
2016-12-08,27810,6120,9074,8489,4127
2016-12-09,26733,5892,8812,8083,3946
2016-12-10,27799,6183,9311,8350,3955
2016-12-11,27840,6164,9297,8375,4004
2016-12-12,28125,6184,9395,8606,3940
2016-12-13,26540,5641,8844,8339,3716
2016-12-14,25618,5424,8519,8147,3528
2016-12-15,25708,5348,8609,8304,3447
2016-12-16,26311,5400,8942,8511,3458
2016-12-17,27618,5670,9462,8888,3598
2016-12-18,28228,5880,9645,9003,3700
2016-12-19,27880,5780,9607,8795,3698
2016-12-20,26946,5481,9222,8625,3618
2016-12-21,26425,5307,9097,8544,3477
2016-12-22,25578,5060,8846,8193,3479
2016-12-23,25785,5183,8910,8223,3469
2016-12-24,28062,5819,9660,8888,3695
2016-12-25,27846,5808,9519,8853,3666
2016-12-26,27368,5633,9328,8715,3692
2016-12-27,26288,5290,9037,8481,3480
2016-12-28,26963,5306,9272,8928,3457
2016-12-29,27062,5319,9354,8911,3478
2016-12-30,25673,4985,8904,8455,3329
2016-12-31,26744,5313,9375,8741,3315
2017-01-01,24913,4769,8777,8200,3167
2017-01-02,22703,4296,7869,7580,2958
2017-01-03,20609,3755,7177,6982,2695
2017-01-04,20381,3729,7062,6851,2739
2017-01-05,20750,3884,7081,6978,2807
2017-01-06,21233,3920,7202,7140,2971
2017-01-07,23411,4595,7911,7684,3221
2017-01-08,23759,4525,8094,7902,3238
2017-01-09,22802,4400,7614,7689,3099
2017-01-10,21330,3961,7137,7326,2906
2017-01-11,20907,3937,6909,7128,2933
2017-01-12,19964,3781,6623,6667,2893
2017-01-13,19295,3677,6340,6470,2808
2017-01-14,21798,4370,7166,7124,3138
2017-01-15,21893,4345,7205,7207,3136
2017-01-16,22070,4420,7313,7232,3105
2017-01-17,21874,4323,7247,7247,3057
2017-01-18,21701,4237,7164,7194,3106
2017-01-19,21410,4173,7007,7147,3083
2017-01-20,21484,4284,6946,7109,3145
2017-01-21,23760,4865,7798,7737,3360
2017-01-22,23563,4805,7784,7681,3293
2017-01-23,24441,4977,8099,8016,3349
2017-01-24,24000,4691,7898,8110,3301
2017-01-25,24351,4707,8010,8248,3386
2017-01-26,24861,4943,8325,8164,3429
2017-01-27,22905,4346,7625,7723,3211
2017-01-28,20865,3754,6898,7208,3005
2017-01-29,20057,3532,6658,6983,2884
2017-01-30,20699,3840,6909,7085,2865
2017-01-31,21095,4142,7020,7091,2842
2017-02-01,20955,4070,6947,7028,2910
2017-02-02,20682,4034,6743,7013,2892
2017-02-03,20072,3798,6527,6985,2762
2017-02-04,21706,4156,7046,7603,2901
2017-02-05,21381,4027,6970,7494,2890
2017-02-06,21282,4026,6868,7454,2934
2017-02-07,20210,3686,6473,7165,2886
2017-02-08,19774,3747,6236,6996,2795
2017-02-09,19860,3678,6321,7049,2812
2017-02-10,19714,3720,6261,6898,2835
2017-02-11,21568,4168,6944,7372,3084
2017-02-12,21330,4053,6852,7282,3143
2017-02-13,21760,4125,7086,7434,3115
2017-02-14,21217,4141,6816,7129,3131
2017-02-15,21031,4122,6701,7051,3157
2017-02-16,20256,3908,6356,6942,3050
2017-02-17,20320,3823,6350,7193,2954
2017-02-18,22246,4559,6914,7675,3098
2017-02-19,22098,4462,6959,7697,2980
2017-02-20,22112,4493,6918,7630,3071
2017-02-21,20870,4029,6574,7302,2965
2017-02-22,19722,3942,6031,6939,2810
2017-02-23,20128,3978,6216,6974,2960
2017-02-24,20446,3956,6518,6965,3007
2017-02-25,22913,4625,7421,7556,3311
2017-02-26,22720,4509,7299,7577,3335
2017-02-27,23119,4504,7428,7782,3405
2017-02-28,23368,4525,7512,7785,3546
2017-03-01,23027,4396,7298,7771,3562
2017-03-02,23180,4649,7167,7727,3637
2017-03-03,22587,4430,6991,7611,3555
2017-03-04,24351,4900,7522,8117,3812
2017-03-05,24702,5033,7660,8187,3822
2017-03-06,23843,4833,7524,7752,3734
2017-03-07,22516,4406,7077,7488,3545
2017-03-08,22032,4306,6818,7457,3451
2017-03-09,21152,4240,6435,7135,3342
2017-03-10,21957,4346,6768,7335,3508
2017-03-11,23731,4771,7439,7845,3676
2017-03-12,23772,4829,7328,7836,3779
2017-03-13,24332,4886,7640,8064,3742
2017-03-14,23393,4566,7327,7867,3633
2017-03-15,23256,4548,7335,7746,3627
2017-03-16,23058,4421,7215,7770,3652
2017-03-17,23505,4512,7294,7893,3806
2017-03-18,24944,4798,7786,8365,3995
2017-03-19,25842,5031,8108,8653,4050
2017-03-20,26102,5063,8214,8701,4124
2017-03-21,25209,4777,7900,8527,4005
2017-03-22,24685,4722,7654,8470,3839
2017-03-23,24975,4876,7753,8466,3880
2017-03-24,25975,5047,8256,8671,4001
